Word,Freq,Rank
Oxford,10,1119
stood,10,1120
justify,10,1121
submit,10,1122
choice,10,1123
absolutely,10,1124
reasonably,10,1125
language,10,1126
Harris,10,1127
notion,10,1128
settle,10,1129
wholly,10,1130
offered,10,1131
absence,10,1132
sentiments,10,1133
generally,10,1134
admire,10,1135
lips,10,1136
following,10,1137
urged,10,1138
Mamma,10,1139
mistake,10,1140
readily,10,1141
third,10,1142
borne,10,1143
God,10,1144
concealed,9,1145
humoured,9,1146
maid,9,1147
attempting,9,1148
actions,9,1149
beaux,9,1150
motive,9,1151
watched,9,1152
service,9,1153
intentions,9,1154
doubted,9,1155
chair,9,1156
delicate,9,1157
dine,9,1158
slight,9,1159
Are,9,1160
listened,9,1161
close,9,1162
abroad,9,1163
sides,9,1164
introduced,9,1165
quit,9,1166
resist,9,1167
learn,9,1168
unpleasant,9,1169
hers,9,1170
About,9,1171
Doctor,9,1172
moved,9,1173
telling,9,1174
active,9,1175
sort,9,1176
direct,9,1177
plainly,9,1178
ran,9,1179
servants,9,1180
property,9,1181
uneasiness,9,1182
distant,9,1183
fit,9,1184
struck,9,1185
Who,9,1186
confined,9,1187
hard,9,1188
around,9,1189
satisfy,9,1190
believing,9,1191
separation,9,1192
odd,9,1193
guess,9,1194
Sussex,9,1195
seat,9,1196
matters,9,1197
described,9,1198
shocking,9,1199
produce,9,1200
convince,9,1201
reserve,9,1202
bestow,9,1203
frequent,9,1204
desirous,9,1205
result,9,1206
Has,9,1207
depended,9,1208
complexion,9,1209
clear,9,1210
arose,9,1211
advanced,9,1212
ended,9,1213
agreed,9,1214
merits,9,1215
abilities,9,1216
sufficient,9,1217
Pratt,9,1218
pay,9,1219
softened,9,1220
determine,9,1221
today,9,1222
observe,9,1223
spot,9,1224
charge,9,1225
laid,9,1226
conscious,9,1227
started,9,1228
Some,9,1229
solitude,8,1230
shew,8,1231
prudence,8,1232
stop,8,1233
possibly,8,1234
venture,8,1235
instant,8,1236
triumph,8,1237
catching,8,1238
completely,8,1239
similar,8,1240
number,8,1241
pass,8,1242
supply,8,1243
message,8,1244
explain,8,1245
conceal,8,1246
fix,8,1247
effort,8,1248
attentions,8,1249
alike,8,1250
sincerely,8,1251
Whatever,8,1252
comes,8,1253
cards,8,1254
sincerity,8,1255
shame,8,1256
visitor,8,1257
perfect,8,1258
hurry,8,1259
horse,8,1260
listening,8,1261
safely,8,1262
parsonage,8,1263
carrying,8,1264
offended,8,1265
setting,8,1266
reward,8,1267
positive,8,1268
recovery,8,1269
nearly,8,1270
calmly,8,1271
pardon,8,1272
visited,8,1273
measure,8,1274
assertion,8,1275
mere,8,1276
gentle,8,1277
persuade,8,1278
credit,8,1279
belonging,8,1280
pride,8,1281
impatient,8,1282
morrow,8,1283
book,8,1284
reflect,8,1285
Tell,8,1286
excess,8,1287
watching,8,1288
success,8,1289
deserve,8,1290
laughing,8,1291
proceeded,8,1292
concerns,8,1293
bred,8,1294
England,8,1295
leaning,8,1296
cruel,8,1297
totally,8,1298
observing,8,1299
Eliza,8,1300
died,8,1301
affected,8,1302
stronger,8,1303
comprehend,8,1304
held,8,1305
gain,8,1306
suspected,8,1307
whisper,8,1308
presently,8,1309
ashamed,8,1310
occur,8,1311
regarded,8,1312
aye,8,1313
fifty,8,1314
changed,8,1315
dearest,8,1316
getting,8,1317
strongly,8,1318
arranged,8,1319
elegant,8,1320
forgive,8,1321
single,8,1322
deny,8,1323
learnt,8,1324
figure,8,1325
agony,8,1326
existence,8,1327
draw,8,1328
Longstaple,8,1329
escape,8,1330
